feature,mi_score
JPX_Platinum_Standard_Futures_Open_lag_2_ma,0.06459585857829797
JPX_Gold_Standard_Futures_High_min_60,0.06443658832185939
LME_AH_Close_lag_4,0.06438759547303441
JPX_Platinum_Mini_Futures_Open_lag_2_ma,0.06436062660050812
JPX_Gold_Rolling-Spot_Futures_Low_rolling_median_5,0.06434170260608774
LME_PB_Close_lag_7_ma,0.06432753793289825
JPX_Platinum_Mini_Futures_Low_lag_5_ma,0.06423453011109537
LME_ZS_Close_rolling_median_5,0.06421225692324128
JPX_Platinum_Standard_Futures_Open_lag_1_ma,0.06409231103039481
LME_PB_Close_lag_4_ma,0.06407876566801685
JPX_Gold_Mini_Futures_Close_ma_10,0.06402481754841727
JPX_Platinum_Standard_Futures_High_min_60,0.06399456593934261
US_Stock_mean,0.06385568453855583
US_Stock_volume_mean,0.06383022542011219
JPX_Platinum_Mini_Futures_Low_lag_4_ma,0.06376994950491977
JPX_Gold_Rolling-Spot_Futures_High_ma_10,0.06374923544899325
JPX_Platinum_Standard_Futures_Close_ma_60,0.06365758430357005
LME_CA_Close_lag_1_ma,0.0636546850130002
JPX_Gold_Mini_Futures_Open_rolling_median_20,0.06361943731967123
JPX_Platinum_Standard_Futures_Low_lag_5_ma,0.0635809439713455
FX_AUDJPY,0.06348426214496428
JPX_Gold_Standard_Futures_Close_rolling_median_5,0.06332232158413298
JPX_Gold_Standard_Futures_Low_rolling_median_5,0.06331980511405177
JPX_Platinum_Standard_Futures_High_lag_3_ma,0.06318261061730723
JPX_Gold_Mini_Futures_High_min_60,0.0630152686033707
JPX_Platinum_Standard_Futures_Open_lag_5_ma,0.06294862265516343
JPX_Gold_Rolling-Spot_Futures_Open_ma_20_trend_strength,0.06290025752269557
JPX_Gold_Rolling-Spot_Futures_Low_max_5,0.06281954274437229
JPX_Gold_Rolling-Spot_Futures_open_interest_rolling_median_20,0.06257944012116123
US_Stock_FCX_adj_open,0.06257743845199037
JPX_Platinum_Mini_Futures_Open_lag_5_ma,0.0624504442876459
JPX_RSS3_Rubber_Futures_Close_min_5,0.06242131456149025
JPX_Platinum_Standard_Futures_Open_lag_5,0.06237154658839028
US_Stock_VCSH_adj_volume,0.062170511432357856
FX_ZAREUR,0.06214369069113701
JPX_Platinum_Mini_Futures_Open_lag_5,0.061938811974471264
JPX_Gold_Rolling-Spot_Futures_Open,0.06193413107660373
JPX_Gold_Rolling-Spot_Futures_High_rolling_median_10,0.06187600066794108
JPX_Gold_Standard_Futures_Close_lag_4,0.06162582048249732
US_Stock_EEM_adj_open,0.061571680436694365
LME_ZS_Close,0.06148719935341074
JPX_Platinum_Standard_Futures_Low_lag_4_ma,0.061485924182931306
JPX_Gold_Rolling-Spot_Futures_Open_ma_10,0.061404731844603155
JPX_Gold_Rolling-Spot_Futures_Open_rolling_median_20,0.061394341194533464
JPX_Platinum_Mini_Futures_Close_ma_60,0.06125087040640764
JPX_Gold_Rolling-Spot_Futures_High_min_5,0.061188239618033435
JPX_Platinum_Mini_Futures_Open_min_60,0.061175824259218636
JPX_RSS3_Rubber_Futures_Close_min_10,0.061135404045279174
JPX_Gold_Rolling-Spot_Futures_Open_rolling_median_10,0.061128287662581826
JPX_Gold_Mini_Futures_Low_max_10,0.06111533792607027
JPX_Gold_Standard_Futures_Low_max_10,0.06109639838801151
LME_AH_Close_min_5,0.061034090561852494
JPX_Gold_Mini_Futures_open_interest_lag_7_ma,0.06101055064654748
JPX_Gold_Rolling-Spot_Futures_Close_rolling_median_20,0.060867563505723865
JPX_Gold_Mini_Futures_Close_rolling_median_5,0.060793328549832104
JPX_Gold_Standard_Futures_Low_ma_5,0.0607475395504693
JPX_Gold_Standard_Futures_Close_min_60,0.06071514079110418
JPX_Platinum_Standard_Futures_Low_min_60,0.060699214884829544
JPX_Gold_Rolling-Spot_Futures_Low_max_10,0.06055996479292691
JPX_Gold_Rolling-Spot_Futures_Low_ma_10,0.0604698687691263
JPX_Platinum_Standard_Futures_High_lag_4,0.06039295967207625
FX_AUDCHF,0.06038033146446775
JPX_Platinum_Mini_Futures_Close_min_60,0.06033110741207004
US_Stock_OIH_adj_low,0.06028278779593954
JPX_Gold_Mini_Futures_Low_ma_5,0.060265878001513506
US_Stock_SPYV_adj_close,0.06011228262626478
LME_AH_Close_rolling_median_20,0.05994347678304912
JPX_Gold_Rolling-Spot_Futures_High_lag_1,0.05993582023673305
JPX_Gold_Rolling-Spot_Futures_Low_rolling_median_10,0.05962200880437152
JPX_Platinum_Mini_Futures_Open_lag_4,0.05927130643849576
JPX_Gold_Standard_Futures_Close_ma_5,0.05922414489483696
JPX_Gold_Mini_Futures_Open_min_5,0.05922139343647004
JPX_Gold_Rolling-Spot_Futures_High_min_60,0.059145117033652994
JPX_Gold_Rolling-Spot_Futures_High_ma_5,0.059132106968204035
JPX_RSS3_Rubber_Futures_Close_ma_60,0.059048906020731096
JPX_Platinum_Mini_Futures_Open_ma_60,0.05903406906324005
JPX_Gold_Rolling-Spot_Futures_open_interest_lag_1_ma,0.05902812082026898
JPX_Gold_Rolling-Spot_Futures_Low_min_5,0.059018758308343244
JPX_Platinum_Standard_Futures_Low_lag_3_ma,0.05899805727879581
JPX_Gold_Standard_Futures_Open,0.05897319074700924
JPX_Gold_Rolling-Spot_Futures_Open_rolling_median_5,0.058924835400705255
JPX_Gold_Mini_Futures_High_rolling_median_20,0.058831154224219695
JPX_Platinum_Standard_Futures_Open_ma_60,0.05869269689640877
JPX_Gold_Mini_Futures_Close_ma_5,0.05867509888090083
US_Stock_WPM_adj_high,0.05865890743055857
JPX_Gold_Standard_Futures_High_return_10,0.05863981137560614
JPX_Gold_Rolling-Spot_Futures_Low_lag_1,0.058481643729652255
US_Stock_LYB_adj_close,0.058402165612783996
JPX_Gold_Standard_Futures_High_min_10,0.05837681646740123
JPX_Gold_Standard_Futures_Low_min_60,0.05836538624753507
JPX_Gold_Standard_Futures_Open_lag_7,0.05827400762010093
JPX_Gold_Rolling-Spot_Futures_open_interest_ma_10,0.05798784570960347
JPX_Platinum_Mini_Futures_Open_min_20,0.057957828104017395
LME_PB_Close_lag_2_ma,0.05791994782157772
LME_ZS_Close_lag_4,0.05785085216513064
JPX_Gold_Mini_Futures_Open,0.05782889558429183
JPX_Platinum_Mini_Futures_High_min_60,0.05782010085542
JPX_Gold_Standard_Futures_High_rolling_median_20,0.05781545515532649
JPX_Gold_Mini_Futures_Low_lag_3,0.05779939656181732
JPX_Gold_Mini_Futures_High_min_10,0.05761721033855416
JPX_Gold_Rolling-Spot_Futures_Close_max_10,0.05760759636330448
JPX_Gold_Rolling-Spot_Futures_open_interest_lag_7_ma,0.057600552673764405
JPX_Gold_Standard_Futures_High_log_return_10,0.05758919477621394
JPX_Gold_Mini_Futures_Open_max_10,0.05758624707726234
JPX_Platinum_Mini_Futures_Low_lag_3_ma,0.05756202260380405
JPX_Gold_Rolling-Spot_Futures_Open_min_5,0.05742600812024001
JPX_Gold_Mini_Futures_Open_min_60,0.05724611415017211
US_Stock_VYM_adj_volume,0.0571932321545745
JPX_Gold_Rolling-Spot_Futures_Close_min_60,0.057181012438875634
JPX_Platinum_Standard_Futures_High_rolling_peak_trough_20,0.05705985728046148
JPX_Gold_Rolling-Spot_Futures_Open_max_60,0.05697733596012222
JPX_Gold_Mini_Futures_Close_lag_4,0.05693649881533425
JPX_Gold_Standard_Futures_High_moving_avg_return_10,0.05688954128833501
JPX_Gold_Mini_Futures_Low_min_60,0.056864325812137295
JPX_Platinum_Mini_Futures_Close_lag_5_ma,0.05669827404855621
JPX_Gold_Standard_Futures_Open_min_5,0.056681104620416534
